topic,team_a_args,team_b_args,winner
We should oppose collectivism,"As people are randomly born into the world and largely do not choose the community they are born into, they should not be obligated to serve the collective as they did not consent to its existence. collectivism does not allow for individual enterprise and it stifles entrepreneurism. collectivism  hurts creativity and any new ideas and it slows down progress collectivism can cause people to ignore important problems if it doesn't apply to certain groups collectivism can destroy individuality and can cause people to be singled out in a bad way.","collectivism can help instill pride and patriotism in a country. collectivism can be useful for instance in a group of people they will all have different strengths and ideas and therefore are better at solving problems collectivism assures that the weakest members of society have access to basic needs. collectivism aims to work toward what is good for all rather than a single person or group, this means a better society for everyone collectivism allows for focused intervention for a specific issue using all tools and means necessary to fix a situation.",Team A
We should prohibit flag burning,"burning the flag is complete disrespect for each and every man and woman who has fought and died for the right to fly that flag. burning the national flag can incite hatred and therefore it should be banned. Flag burning dishonors veterans who have sacrificed lives and health for the country, and should be banned. flag burning is an offensive action against those who have risked their lives or died defending that flag.  those who burn that flag should be arrested. flag burning is an affront to our country.","a flag is no more than a symbol, if flag burning were banned you would have to ban the burning of football shirts, etc burning a flag is a form of speech. as free speech is a constitutional right, we should not ban it. flag burning is a form of free speech. flag burning is a form of expression, so a ban would be unconstitutional. Flag burning is a legitimate form of freedom of expression. As such, it is constitutionally protected under the First Amendment.",Team A
We should stop the development of autonomous cars,"automated cars will displace a lot of people working today and a lot of people will need to be retrained for other jobs. (if they exist.) an autonomous vehicle can never be programmed to make an ethical decision if faced with a crash situation autonomous cars are a danger to the general public.  there have already been deaths and injuries that would have never happened within a regular vehicle. autonomous cars are dangerous because they are operated by a computer which can malfunction or be hacked. autonomous cars are dangerous and shouldn't be allowed.  we all know technology fails often, and allowing someone to put their life (and the lives of those around them) in jeopardy is not necessary in this way.","autonomous  cars are safer because they don't fall asleep, don't drink and drive, and their reaction time is faster and more accurate than a human. autonomous cars are likely to be safer than human controlled cars because they remove the factor of human driver error. autonomous cars are a lot more reliable than human drivers autonomous cars are no more dangerous than distracted drivers, and autonomous driving can allow the drivers to do other tasks. autonomous cars are safer because they eliminate human error",Team B
We should subsidize Wikipedia,"Subsidizing Wikipedia will help it develop and improve,  which will improve the quality of education- since many students use Wikipedia as a learning tool Subsidizing Wikipedia will help it encompass more knowledge, generating the greatest, unbiased documentation of life on earth as we know it. subsidizing wikipedia would improve the resources available for moderating its content, improving the accuracy of the information. subsidizing wikipedia would increase contributions and increase reliability because facts could be verified. we should certainly subsidize wikipedia because it is an open source dictionary and encyclopedia that has millions of users. without it, there will be much less learning and information available.","A government-funded Wikipedia would become a government-controlled Wikipedia. If Wikipedia were subsidized it would be less objective by being accountable to a single funding source. if the government provides funding to wikipedia the impartiality and therefore reliability of the information held on there may be compromised government subsidies open the door to government control, this would potentially ruin the impartiality of wikipedia it could lead to donors trying to influence the content",Team A
We should subsidize embryonic stem cell research,"by subsidizing embryonic stem cell research, cures will be made available for diseases that would otherwise cost millions more money for long term treatments that sustain life instead of curing the disease. diseases can be cured using cells created for embryonic stem cell research. embryonic research has proven effective in finding cures for many diseases such as cancer. embryonic stem cell research can find a cure for various diseases. embryonic stem cell research can help discover new cures for life threatening illnesses.","destroying human embroyos for research is unethical and immmoral embryonic stem cell research is unethical and immoral. embryonic stem cell research should not be subsidized because it requires the destruction of human embryos and so raises serious ethical concerns. embryonic stem cell research is ethically unsound, and the long term consequences are unknown. embryonic stem cell research is controversial and therefore should not receive government funding.",Team A
We should subsidize journalism,"Due to the rise of instant gratification online media and the fall of print media, journalism has been struggling economically a lot more in recent times. Subsidization will pull it out of the slump. journalism is imperative to a fully functioning democracy Journalism is an important part of our political system; it keeps citizens informed and exposes government corruption. Journalism is a vital source of real information and news to make sure people are properly informed about the world so subsidizing it would help ensure that it continues without bias. journalism helps tell everyone in the world the current news that they might not otherwise hear.","if subsidised by the government then they might be biased, afraid of losing the money if journalism is funded by the government the government will regulate the news journalism needs no help, there is a vast array of ways to get information and subsidizing it would only create polarization of information journalism should be able to stand on its own without the taxpayers being forced to contribute to its upkeep journalism should not be subsidized because subsidies could too easily be allotted according to political beliefs.",Team A
We should subsidize space exploration,"developments in science and technology have been accomplished through space exploration by subsidizing space exploration we can work toward colonizing other planets and reduce over population on earth. Space exploration allows researchers valuable information into the universe. knowledge is power and each new discovery can be applied to countless other things that can benefit our daily lives it is estimated that the economic value of every dollar spent on the space exploration program is worth $8-$10, this makes it a very sound investment that advances technology, science and medicine.","space exploration is an expensive vanity project and subsidization could be abused by military and private interests. space exploration is a waste of taxpayers money and should be funded by private enterprises. space exploration is a waste of public funds when people are suffering from food poverty and lack of housing. The money could be better spent on more worthy areas, such as health and education. Subsidizing space exploration would only cause our country to go deeper in debt.",Team A
We should subsidize stay-at-home dads,"a modern society espousing gender equality has a duty to subsidize stay-at-home dads, just as it would support mothers - this both improves womens' career prospects, and fathers' emotional bonding. Children flourish when a parent is their primary caregiver, but it nearly impossible to raise a family on one salary. Subsidizing stay-at-home dads would benefit such families. men and women too who stay at home to raise a family should get some type of subsidy.  nothing is more important than children growing and learning from a loving parent. Even in today's world pay inequality is a fact and this means that dad's cannot afford to stay at home, a subsidy is essential to allow dads the same opportunity as mums. dads do not always get the same bonding experience the mother gets due to not being able to afford to take time off work to be with their babies and children so subsidising would make for better family life.","a father is entitled to sacrifice his work for time with his new-born, but this is a lifestyle choice and should be self-funded, not financially supported by the tax payer. being a stay at home parent is a choice and it's no one else's responsibility to ensure an individual can stay at home with their children. having a child is a choice. why should we subsidize people that chose to have a child they cannot afford? stay at home dad's chose to be parents. no other citizen should pay to subsidize their lifestyle choice, especially the many citizens that have not had children of their own because they cannot afford to we don't subsidize stay at home moms so we whouldn't subsidize stay at home dads.",Team B
We should subsidize student loans,"a majority of students are unable to pay for the high cost of attending college All young people whether rich or poor should have the opportunity to better their lives by going to into higher education, the more student loans are subsidized the closer this will become a reality. an educated population is a productive population, and it ultimately makes financial sense for a government to support learning activities in return for enhanced taxation revenue down the line. by subsidising student loans governments can encourage those on a low income to consider university. an education is very important nowadays and subsidizing student loans will help many students go to school","going to college is a benefit for the person attending and they should bear the full cost. the government should not spend it resources to  help kids go to college, there are many other more important needs. if people can't afford a high education then the burden of paying for them to have this shouldn't be put on other people by subsidizing. the can always get a job doing other things. people choose to go to college.  those that do should pay the bills for that schooling.  we should not be taxed to give money to those that choose to borrow it. loans should not need to be subsidized as the students can pay them back when they are earning enough, which will be thanks to their education. while in theory it would be nice if no students had loan debt it is not possible. it would take away from other necessary funds like social security, universal health care, and military defense.",Team A
We should subsidize vocational education,"academic education has been promoted at the expense of vocational education and this needs to be re-balanced by subsidizing vocational education. not all high school graduates complete a college degree and some of them get jobs that don't even require a degree, vocational education would really help them get better jobs than otherwise available to them. Many of the careers offered at vocational schools provide  essential services to the community. not everyone is suited to work in an office. we also need mechanics and truck drivers and hair dressers etc. by subsidizing voed for these jobs we will be able to continue to teach the hands on employees. it provides people the skills needed to get a good job","making the training free will cause less motivated people to take up valuable training resources We should not subsidize vocational education but should ensure that businesses are involved to offer apprenticeships and make sure that the courses are relevant to job needs. we pay enough school tax in every county towards helping out our schools.   we don't need our other tax dollars being used for what schools should be paying for already with our tax money. vocational education is a specialized educational outlet and should be paid by the person who chooses the path of vocational education. we should not subsidize vocational education because it would cost to much and raise taxes, and it would not help society in the long term.",Team A
